"Geographic code","Geographic name","Province or territory","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016"
"S6V","S6V","Saskatchewan",,41092,17098,15496
"S6W","S6W","Saskatchewan",,141,90,70
"S6X","S6X","Saskatchewan",,2141,713,697
"S7H","S7H","Saskatchewan",,35686,17129,15780
"S7J","S7J","Saskatchewan",,31223,13279,12694
"S7K","S7K","Saskatchewan",,39174,18180,16844
"S7L","S7L","Saskatchewan",,39478,15728,14670
"S7M","S7M","Saskatchewan",,31112,13868,12256
"S7N","S7N","Saskatchewan",,27214,12361,11311
"S7P","S7P","Saskatchewan",,158,51,49
"S7R","S7R","Saskatchewan",,8056,2663,2589
"S7S","S7S","Saskatchewan",,5906,2325,2164
"S7T","S7T","Saskatchewan",,13202,5387,4797
"S7V","S7V","Saskatchewan",,10780,4293,4009
"S7W","S7W","Saskatchewan",,13625,5268,4652
"S9A","S9A","Saskatchewan",,15547,6916,6317
"S9H","S9H","Saskatchewan",,18070,8241,7712
"S9V","S9V","Saskatchewan",,14694,6082,5420
"S9X","S9X","Saskatchewan",,7798,3005,2759
"T0A","T0A","Alberta",,59234,27713,21711
"T0B","T0B","Alberta",,64072,28009,24427
"T0C","T0C","Alberta",,62701,28739,23081
"T0E","T0E","Alberta",,43729,22179,16779
"T0G","T0G","Alberta",,42905,18519,15103
"T0H","T0H","Alberta",,84336,33105,28826
"T0J","T0J","Alberta",,50783,19938,17953
"T0K","T0K","Alberta",,55487,20521,17681
"T0L","T0L","Alberta",,61161,23366,21063
"T0M","T0M","Alberta",,67484,29041,25889
"T0P","T0P","Alberta",,3631,1627,1241
"T0V","T0V","Alberta",,19,19,7
"T1A","T1A","Alberta",,25409,12276,11501
"T1B","T1B","Alberta",,32769,13312,12851
"T1C","T1C","Alberta",,9391,3970,3817
"T1G","T1G","Alberta",,10339,3956,3721
"T1H","T1H","Alberta",,27385,11443,11050
"T1J","T1J","Alberta",,22960,10245,9438
"T1K","T1K","Alberta",,45932,19288,18129
"T1L","T1L","Alberta",,7442,2581,2398
"T1M","T1M","Alberta",,9379,3423,3358
"T1P","T1P","Alberta",,16843,6537,6235
"T1R","T1R","Alberta",,17011,6373,5965
"T1S","T1S","Alberta",,32951,11317,11075
"T1V","T1V","Alberta",,15593,6424,6082
"T1W","T1W","Alberta",,14755,8416,6047
"T1X","T1X","Alberta",,22496,7192,7017
"T1Y","T1Y","Alberta",,57237,19139,18220
"T1Z","T1Z","Alberta",,639,150,127
"T2A","T2A","Alberta",,59641,22652,21108
"T2B","T2B","Alberta",,23418,9953,9313
"T2C","T2C","Alberta",,20406,8332,8011
"T2E","T2E","Alberta",,34729,17958,16619
"T2G","T2G","Alberta",,14370,8593,7457
"T2H","T2H","Alberta",,9372,4395,4157
"T2J","T2J","Alberta",,46394,18714,18285
"T2K","T2K","Alberta",,35544,15376,14728
"T2L","T2L","Alberta",,14214,6539,6146
"T2M","T2M","Alberta",,21086,9925,9074
"T2N","T2N","Alberta",,26342,12601,11561
"T2P","T2P","Alberta",,13056,8723,7215
"T2R","T2R","Alberta",,13879,10715,8981
"T2S","T2S","Alberta",,14637,8485,7727
"T2T","T2T","Alberta",,29706,15860,14501
"T2V","T2V","Alberta",,33450,15417,14642
"T2W","T2W","Alberta",,42377,17227,16703
"T2X","T2X","Alberta",,43339,15029,14543
"T2Y","T2Y","Alberta",,61344,21111,20886
"T2Z","T2Z","Alberta",,68438,24669,24417
"T3A","T3A","Alberta",,53224,19393,18949
"T3B","T3B","Alberta",,37348,15638,15164
"T3C","T3C","Alberta",,23519,12429,11111
"T3E","T3E","Alberta",,41415,18806,17855
"T3G","T3G","Alberta",,59025,21018,20685
"T3H","T3H","Alberta",,71251,25098,24777
"T3J","T3J","Alberta",,77605,20910,20223
"T3K","T3K","Alberta",,80792,27353,27044
"T3L","T3L","Alberta",,30168,10093,10014
"T3M","T3M","Alberta",,40268,14202,13682
"T3N","T3N","Alberta",,12483,4042,3835
"T3P","T3P","Alberta",,15578,5038,4859
"T3R","T3R","Alberta",,23866,8045,7657
"T3S","T3S","Alberta",,303,125,116
"T3Z","T3Z","Alberta",,11209,3736,3634
"T4A","T4A","Alberta",,16054,5878,5718
"T4B","T4B","Alberta",,48548,17592,16974
"T4C","T4C","Alberta",,30566,12051,11414
"T4E","T4E","Alberta",,2252,911,831
"T4G","T4G","Alberta",,12696,5494,4676
"T4H","T4H","Alberta",,12316,5212,4869
"T4J","T4J","Alberta",,11373,4761,4445
"T4L","T4L","Alberta",,17128,6947,6309
"T4M","T4M","Alberta",,4742,1736,1606
"T4N","T4N","Alberta",,33829,16755,15311
"T4P","T4P","Alberta",,32478,12802,12315
"T4R","T4R","Alberta",,36570,13663,13260
"T4S","T4S","Alberta",,20374,9155,7747
"T4T","T4T","Alberta",,13389,5433,5029
"T4V","T4V","Alberta",,20843,9243,8769
"T4X","T4X","Alberta",,20715,7279,6765
"T5A","T5A","Alberta",,35049,14221,13484
"T5B","T5B","Alberta",,15746,8036,7063
"T5C","T5C","Alberta",,16192,6526,6135
"T5E","T5E","Alberta",,32242,12636,11930
"T5G","T5G","Alberta",,12793,6573,5669
"T5H","T5H","Alberta",,26290,15596,13111
"T5J","T5J","Alberta",,5281,3930,3204
"T5K","T5K","Alberta",,22814,15770,14230
"T5L","T5L","Alberta",,17124,6841,6461
"T5M","T5M","Alberta",,15261,7342,6658
"T5N","T5N","Alberta",,14579,7670,6912
"T5P","T5P","Alberta",,21557,10130,9251
"T5R","T5R","Alberta",,25867,10211,9848
"T5S","T5S","Alberta",,4843,2086,1964
"T5T","T5T","Alberta",,69914,27047,25910
"T5V","T5V","Alberta",,146,52,49
"T5W","T5W","Alberta",,20652,8971,8414
"T5X","T5X","Alberta",,41912,15073,14662
"T5Y","T5Y","Alberta",,45947,17081,16083
"T5Z","T5Z","Alberta",,30715,10503,9920
"T6A","T6A","Alberta",,14767,6759,6241
"T6B","T6B","Alberta",,9503,4257,4011
"T6C","T6C","Alberta",,20587,10001,9287
"T6E","T6E","Alberta",,22674,13932,12143
"T6G","T6G","Alberta",,12634,6636,5377
"T6H","T6H","Alberta",,30171,13127,12287
"T6J","T6J","Alberta",,47109,19266,18391
"T6K","T6K","Alberta",,29838,10669,10349
"T6L","T6L","Alberta",,51562,18415,17779
"T6M","T6M","Alberta",,28187,10006,9445
"T6N","T6N","Alberta",,25,1,1
"T6P","T6P","Alberta",,1798,884,846
"T6R","T6R","Alberta",,45145,16082,15436
"T6S","T6S","Alberta",,96,54,40
"T6T","T6T","Alberta",,37150,11270,10919
"T6V","T6V","Alberta",,19927,6895,6621
"T6W","T6W","Alberta",,50904,21001,18977
"T6X","T6X","Alberta",,35649,12428,11747
"T7A","T7A","Alberta",,11756,4872,4440
"T7E","T7E","Alberta",,13989,6079,5426
"T7N","T7N","Alberta",,7795,3256,3119
"T7P","T7P","Alberta",,7536,3182,2950
"T7S","T7S","Alberta",,12691,5171,4645
"T7V","T7V","Alberta",,10575,4652,4197
"T7X","T7X","Alberta",,44071,16767,15968
"T7Y","T7Y","Alberta",,6891,2495,2406
"T7Z","T7Z","Alberta",,26014,10269,9765
"T8A","T8A","Alberta",,43987,16225,16057
"T8B","T8B","Alberta",,6440,2228,2156
"T8C","T8C","Alberta",,4502,1575,1537
"T8E","T8E","Alberta",,8104,2910,2825
"T8G","T8G","Alberta",,4848,1881,1769
"T8H","T8H","Alberta",,28688,10978,10710
"T8L","T8L","Alberta",,26423,10797,10057
"T8N","T8N","Alberta",,65527,24439,23947
"T8R","T8R","Alberta",,15088,5488,5233
"T8S","T8S","Alberta",,8007,3377,3007
"T8T","T8T","Alberta",,7037,2500,2335
"T8V","T8V","Alberta",,31893,14508,12865
"T8W","T8W","Alberta",,21466,7796,7338
"T8X","T8X","Alberta",,19287,7214,6645
"T9A","T9A","Alberta",,15660,6736,6236
"T9C","T9C","Alberta",,6831,3219,2866
"T9E","T9E","Alberta",,31710,13006,11968
"T9G","T9G","Alberta",,7159,2757,2634
"T9H","T9H","Alberta",,26732,12129,10054
"T9J","T9J","Alberta",,3630,1780,1382
"T9K","T9K","Alberta",,39305,15844,13541
"T9M","T9M","Alberta",,18253,7892,6716
"T9N","T9N","Alberta",,9082,3775,3369
"T9S","T9S","Alberta",,6898,3385,2704
"T9V","T9V","Alberta",,20959,8919,7893
"T9W","T9W","Alberta",,8062,3391,3137
"T9X","T9X","Alberta",,5841,2724,2412
"V0A","V0A","British Columbia",,13920,9089,5984
"V0B","V0B","British Columbia",,33080,20312,14583
"V0C","V0C","British Columbia",,28830,13041,10824
"V0E","V0E","British Columbia",,65606,37976,28846
"V0G","V0G","British Columbia",,26047,13969,11841
"V0H","V0H","British Columbia",,53380,29157,23835
"V0J","V0J","British Columbia",,52919,24666,20967
"V0K","V0K","British Columbia",,32908,20106,14878
"V0L","V0L","British Columbia",,4577,2619,1939
"V0M","V0M","British Columbia",,11761,5425,4539
"V0N","V0N","British Columbia",,79501,49181,34321
"V0P","V0P","British Columbia",,6726,4491,3190
"V0R","V0R","British Columbia",,66795,34690,29112
"V0S","V0S","British Columbia",,266,159,105
"V0T","V0T","British Columbia",,8645,4414,3584
"V0V","V0V","British Columbia",,2033,969,703
"V0W","V0W","British Columbia",,557,514,281
"V0X","V0X","British Columbia",,20629,11525,9154
"V1A","V1A","British Columbia",,8414,4702,3758
"V1B","V1B","British Columbia",,21395,9458,8188
"V1C","V1C","British Columbia",,25413,11085,10668
"V1E","V1E","British Columbia",,19344,8538,8132
"V1G","V1G","British Columbia",,15676,7456,6375
"V1H","V1H","British Columbia",,13427,7393,5871
"V1J","V1J","British Columbia",,23782,10884,9291
"V1K","V1K","British Columbia",,9265,4286,3893
"V1L","V1L","British Columbia",,16801,8321,7604
"V1M","V1M","British Columbia",,31176,11553,11212
"V1N","V1N","British Columbia",,12546,5835,5446
"V1P","V1P","British Columbia",,8028,3440,2851
"V1R","V1R","British Columbia",,10021,5112,4727
"V1S","V1S","British Columbia",,11279,4428,4246
"V1T","V1T","British Columbia",,27997,13376,12761
"V1V","V1V","British Columbia",,21155,9347,8659
"V1W","V1W","British Columbia",,34573,14778,13764
"V1X","V1X","British Columbia",,33273,14135,13489
"V1Y","V1Y","British Columbia",,34310,17952,16721
"V1Z","V1Z","British Columbia",,14368,6359,5639
"V2A","V2A","British Columbia",,37469,18518,17269
"V2B","V2B","British Columbia",,39843,17113,16215
"V2C","V2C","British Columbia",,23661,11685,10542
"V2E","V2E","British Columbia",,14672,5802,5569
"V2G","V2G","British Columbia",,17970,8238,7488
"V2H","V2H","British Columbia",,6201,2878,2622
"V2J","V2J","British Columbia",,22667,10445,9812
"V2K","V2K","British Columbia",,20924,8684,8248
"V2L","V2L","British Columbia",,9947,4835,4371
"V2M","V2M","British Columbia",,23318,10727,9964
"V2N","V2N","British Columbia",,32137,12978,12366
"V2P","V2P","British Columbia",,36329,15937,15171
"V2R","V2R","British Columbia",,48608,19769,18613
"V2S","V2S","British Columbia",,48647,19973,19088
"V2T","V2T","British Columbia",,56111,19304,18133
"V2V","V2V","British Columbia",,33534,12865,11915
"V2W","V2W","British Columbia",,19022,6383,6114
"V2X","V2X","British Columbia",,47944,19786,19141
"V2Y","V2Y","British Columbia",,35222,12739,12205
"V2Z","V2Z","British Columbia",,15520,6052,5791
"V3A","V3A","British Columbia",,42397,18582,17945
"V3B","V3B","British Columbia",,56524,23040,21861
"V3C","V3C","British Columbia",,38818,14989,14419
"V3E","V3E","British Columbia",,39365,13281,12758
"V3G","V3G","British Columbia",,24150,8477,8054
"V3H","V3H","British Columbia",,37222,14627,14207
"V3J","V3J","British Columbia",,40921,17225,16124
"V3K","V3K","British Columbia",,30495,12353,11690
"V3L","V3L","British Columbia",,27724,13215,12659
"V3M","V3M","British Columbia",,43423,21074,20102
"V3N","V3N","British Columbia",,39354,15148,14496
"V3R","V3R","British Columbia",,57844,21060,20061
"V3S","V3S","British Columbia",,95349,31890,29782
"V3T","V3T","British Columbia",,38549,16854,15416
"V3V","V3V","British Columbia",,48927,15176,14108
"V3W","V3W","British Columbia",,92447,28851,27186
"V3X","V3X","British Columbia",,28510,8976,8248
"V3Y","V3Y","British Columbia",,18861,7445,7267
"V3Z","V3Z","British Columbia",,29265,11493,10499
"V4A","V4A","British Columbia",,36390,15450,14854
"V4B","V4B","British Columbia",,19952,10856,10005
"V4C","V4C","British Columbia",,44169,14979,13861
"V4E","V4E","British Columbia",,11839,3941,3799
"V4G","V4G","British Columbia",,86,41,36
"V4K","V4K","British Columbia",,24414,9566,9346
"V4L","V4L","British Columbia",,7893,3532,3424
"V4M","V4M","British Columbia",,14512,5849,5566
"V4N","V4N","British Columbia",,78675,26534,25159
"V4P","V4P","British Columbia",,12224,5006,4766
"V4R","V4R","British Columbia",,15285,5232,5007
"V4S","V4S","British Columbia",,7326,2556,2453
"V4T","V4T","British Columbia",,27996,12021,11332
"V4V","V4V","British Columbia",,14614,7235,5953
"V4W","V4W","British Columbia",,19443,7378,6994
"V4X","V4X","British Columbia",,12774,4112,3856
"V4Z","V4Z","British Columbia",,4851,1900,1599
"V5A","V5A","British Columbia",,23960,9741,9177
"V5B","V5B","British Columbia",,22454,8842,8371
"V5C","V5C","British Columbia",,30408,13518,12828
"V5E","V5E","British Columbia",,26272,10944,10393
"V5G","V5G","British Columbia",,19862,7476,7040
"V5H","V5H","British Columbia",,38845,19530,17889
"V5J","V5J","British Columbia",,21918,8388,7721
"V5K","V5K","British Columbia",,23016,9129,8504
"V5L","V5L","British Columbia",,19720,10810,10272
"V5M","V5M","British Columbia",,23053,8909,8241
"V5N","V5N","British Columbia",,35045,15331,14351
"V5P","V5P","British Columbia",,31920,11594,10466
"V5R","V5R","British Columbia",,46565,19034,16927
"V5S","V5S","British Columbia",,28773,11155,10450
"V5T","V5T","British Columbia",,23911,13710,12924
"V5V","V5V","British Columbia",,24560,10065,9253
"V5W","V5W","British Columbia",,19706,7935,7111
"V5X","V5X","British Columbia",,28820,10751,9340
"V5Y","V5Y","British Columbia",,17201,8757,7915
"V5Z","V5Z","British Columbia",,22547,11399,10768
"V6A","V6A","British Columbia",,18719,10551,9286
"V6B","V6B","British Columbia",,29376,19099,16962
"V6C","V6C","British Columbia",,2554,1853,1355
"V6E","V6E","British Columbia",,26907,18399,16826
"V6G","V6G","British Columbia",,27198,18893,17691
"V6H","V6H","British Columbia",,17848,10467,10075
"V6J","V6J","British Columbia",,22188,13162,12426
"V6K","V6K","British Columbia",,26424,14875,13812
"V6L","V6L","British Columbia",,10479,4082,3716
"V6M","V6M","British Columbia",,16348,7443,6905
"V6N","V6N","British Columbia",,14057,5302,4794
"V6P","V6P","British Columbia",,30697,13465,12718
"V6R","V6R","British Columbia",,19416,9124,8303
"V6S","V6S","British Columbia",,12152,5384,4599
"V6T","V6T","British Columbia",,12722,6489,4648
"V6V","V6V","British Columbia",,11177,3540,3467
"V6W","V6W","British Columbia",,1628,773,684
"V6X","V6X","British Columbia",,33695,14352,13000
"V6Y","V6Y","British Columbia",,47768,20586,19618
"V6Z","V6Z","British Columbia",,17832,11392,10125
"V7A","V7A","British Columbia",,26618,9316,8892
"V7B","V7B","British Columbia",,814,302,298
"V7C","V7C","British Columbia",,39252,14742,13958
"V7E","V7E","British Columbia",,37357,13867,13540
"V7G","V7G","British Columbia",,11673,4605,4408
"V7H","V7H","British Columbia",,13232,4839,4749
"V7J","V7J","British Columbia",,16743,6570,6270
"V7K","V7K","British Columbia",,12391,4326,4177
"V7L","V7L","British Columbia",,26608,13130,12140
"V7M","V7M","British Columbia",,20181,10907,10205
"V7N","V7N","British Columbia",,14883,5844,5441
"V7P","V7P","British Columbia",,13034,5719,5454
"V7R","V7R","British Columbia",,14770,5275,4980
"V7S","V7S","British Columbia",,10521,4350,3721
"V7T","V7T","British Columbia",,9274,4185,3847
"V7V","V7V","British Columbia",,14952,7179,6541
"V7W","V7W","British Columbia",,8611,3582,3222
"V7X","V7X","British Columbia",,0,1,1
"V7Y","V7Y","British Columbia",,5,1,1
"V8A","V8A","British Columbia",,18135,9122,8355
"V8B","V8B","British Columbia",,11772,4709,4489
"V8C","V8C","British Columbia",,8131,4244,3500
"V8G","V8G","British Columbia",,19144,8350,7675
"V8J","V8J","British Columbia",,12275,5746,4959
"V8K","V8K","British Columbia",,10561,5890,4845
"V8L","V8L","British Columbia",,23422,11227,10389
"V8M","V8M","British Columbia",,16168,6940,6695
"V8N","V8N","British Columbia",,25065,10410,9509
"V8P","V8P","British Columbia",,18167,8262,7695
"V8R","V8R","British Columbia",,23572,11244,10771
"V8S","V8S","British Columbia",,17102,8498,8027
"V8T","V8T","British Columbia",,20136,10141,9643
"V8V","V8V","British Columbia",,25892,16525,15380
"V8W","V8W","British Columbia",,5201,4105,3268
"V8X","V8X","British Columbia",,23811,10779,10323
"V8Y","V8Y","British Columbia",,9830,4189,3998
"V8Z","V8Z","British Columbia",,31079,12569,12095
"V9A","V9A","British Columbia",,38699,20174,19320
"V9B","V9B","British Columbia",,44244,18576,17747
"V9C","V9C","British Columbia",,22785,9135,8697
"V9E","V9E","British Columbia",,5155,2141,2035
"V9G","V9G","British Columbia",,14772,6599,6329
"V9H","V9H","British Columbia",,9304,3971,3758
"V9J","V9J","British Columbia",,8715,3810,3566
"V9K","V9K","British Columbia",,15654,8095,7249
"V9L","V9L","British Columbia",,34378,14974,14272
"V9M","V9M","British Columbia",,17208,7923,7639
"V9N","V9N","British Columbia",,30080,13970,13586
"V9P","V9P","British Columbia",,25359,12691,11946
"V9R","V9R","British Columbia",,28376,13330,12610
"V9S","V9S","British Columbia",,16641,8466,7996
"V9T","V9T","British Columbia",,33103,14084,13690
"V9V","V9V","British Columbia",,10934,4483,4347
"V9W","V9W","British Columbia",,28743,13319,12714
"V9X","V9X","British Columbia",,10300,4133,3992
"V9Y","V9Y","British Columbia",,25269,12381,11417
"V9Z","V9Z","British Columbia",,17456,7827,7137
"X0A","X0A","Nunavut/Northwest Territories",,18958,6541,5510
"X0B","X0B","Nunavut/Northwest Territories",,6543,1869,1663
"X0C","X0C","Nunavut/Northwest Territories",,10443,3023,2646
"X0E","X0E","Nunavut/Northwest Territories",,21232,9363,7499
"X0G","X0G","Nunavut/Northwest Territories",,500,210,164
"X1A","X1A","Nunavut/Northwest Territories",,20054,8093,7318
"Y0A","Y0A","Yukon",,1641,1002,742
"Y0B","Y0B","Yukon",,6561,4870,3122
"Y1A","Y1A","Yukon",,27672,12115,11351

Note:
"Incompletely enumerated Indian reserves and Indian settlements, 2016","T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements."
"For further information, refer to: http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/About.cfm."

"Source: Statistics Canada, 2016 Census of Population."
"How to cite: Statistics Canada. 2017. Population and Dwelling Count Highlight Tables. 2016 Census."
"Statistics Canada Catalogue no. 98-402-X2016001. Ottawa. Released February 8, 2017."

